# Average execution times of incrementers with N threads
# Note: This is placeholder data
# Sequential, Thread, ExecutorService, ForkJoinPool, ParallelStream
# N     Seq       ES      FJP     PS
1       1861103639    1861103639    1861103639    1861103639
2       1861103639    1490554755    1561790247    1671718402
4       1861103639    1002067876    956028420    1009248182
8       1861103639    674722890     679519931     671093396
16      1861103639    712718682     476249107     499121513
32      1861103639    699792855     365643978     376296365
48      1861103639    1120739256     342417218     341570579
96      1861103639    2069205296     318042026     318826206
